candidate_max_depth_m,candidate_surface_volume_m3,candidate_time_s,candidate_wet_triangle_count,depth_absolute_error_p99_m,flood_extent_csi,reference_max_depth_m,reference_surface_volume_m3,reference_time_s,reference_wet_depth_rmse_m,reference_wet_triangle_count,snapshot_index,surface_volume_error_fraction,time_delta_s,valid_depth_rmse_m
1.0172274112701416,778.0724316392736,1.0,30,0.0,1.0,1.017227292060852,778.077014307522,1.0,1.4341635473768231e-06,30,0,-5.8897360595883975e-06,0.0,3.9742936265763264e-08
2.2166807651519775,954021.5706580464,3600.14697265625,12686,5.2499789744615746e-05,0.9980314960629921,2.2168071269989014,953917.1755775919,3600.0263671875,0.003004308676924219,12689,1,0.00010943830672859041,0.12060546875,0.00048343282438312324
2.341390609741211,976622.2828045855,7200.1240234375,12721,4.080781713128095e-05,0.9984292782533574,2.341360569000244,976535.3937946297,7200.20361328125,0.002790771062887278,12725,2,8.897681590236143e-05,-0.07958984375,0.00044538851472319924
2.364306926727295,2563476.964852959,10800.0322265625,27535,5.532860755920466e-05,0.9990562270862826,2.364896059036255,2563459.8476370247,10800.1591796875,0.001954239122184067,27537,3,6.677387964546443e-06,-0.126953125,0.0004544963444490857
2.3727638721466064,3420346.428329897,14400.162109375,41300,7.154837250709575e-05,0.9994432879895435,2.374335765838623,3420333.870661811,14400.1748046875,0.0016329085886348073,41305,4,3.6714743533827957e-06,-0.0126953125,0.0004697914307430001
3.0450916290283203,4768588.959647905,18000.025390625,55591,0.00010811232961714288,0.9996043521266074,3.0450971126556396,4768980.928113248,18000.115234375,0.0014435747974336493,55597,5,-8.219124195537352e-05,-0.08984375,0.0004860759974280724
4.9586944580078125,5777841.144169806,21600.09375,65254,0.00017905995249748244,0.9993566767760316,4.958778381347656,5778781.99901076,21600.18359375,0.0014420323551644228,65276,6,-0.00016281196299078695,-0.08984375,0.0005230111056349532
6.074650764465332,6473723.326649581,25200.048828125,70628,0.00027320608496666024,0.9990378493102229,6.074662685394287,6475566.837798547,25200.3671875,0.001541748544675628,70654,7,-0.00028468722432222523,-0.318359375,0.0006245325758524785
6.112648010253906,7253785.823713842,28800.201171875,75911,0.00042116676922887575,0.9992758202980987,6.112667083740234,7256201.67499415,28800.32421875,0.0014690007458969848,75930,8,-0.00033293607158600317,-0.123046875,0.0006263688507193699
7.193741321563721,9593289.660787482,32400.1640625,91791,0.0003745555877685547,0.9993467325740915,7.193740367889404,9596271.741990823,32400.197265625,0.0014420904672946262,91841,9,-0.00031075414322550513,-0.033203125,0.0006111109027654498
7.108835697174072,10746469.7374284,36000.0,97835,0.00047867760062217726,0.9993257600523047,7.108835220336914,10750043.671399742,36000.03125,0.0012913306683058068,97875,10,-0.0003324576234839002,-0.03125,0.000571559058818882
7.132852554321289,12898597.237123374,39600.140625,111006,0.000458319112658501,0.9994597417565596,7.132852077484131,12902426.904911615,39600.16796875,0.001283924694263998,111050,11,-0.00029681763101352697,-0.02734375,0.0006039604396591753
7.030975341796875,12190375.574419394,43200.0078125,102908,0.000539060495793821,0.9991939712937247,7.030974864959717,12193921.375243433,43200.0390625,0.0012612423875442325,102957,12,-0.00029078429447950235,-0.03125,0.0005721451356846686
7.314135551452637,18207613.01493247,46800.1640625,141412,0.0006344248354434971,0.9995405029019009,7.314136981964111,18211484.027782984,46800.09375,0.0008626843224222272,141441,13,-0.00021255889111562924,0.0703125,0.00046110546755684893
7.148637771606445,19376975.09184459,50400.15234375,140057,0.0005279703158885252,0.9996216852849852,7.148636341094971,19381241.30005188,50400.0859375,0.000864581035422372,140080,14,-0.00022012048357703486,0.06640625,0.00046876690177242525
7.15725564956665,21083154.186158393,54000.21875,144543,0.00047008879482746645,0.9997164003596873,7.157256603240967,21087518.766179197,54000.14453125,0.0009639586652370986,144556,15,-0.00020697456486933893,0.07421875,0.0005297874444017323
7.147437572479248,22423657.636618704,57600.10546875,147222,0.00046318769454956055,0.9997011884550084,7.147435665130615,22428285.561649255,57600.03125,0.0009794778910750836,147234,16,-0.0002063432364382442,0.07421875,0.0005668971762254199
7.132040023803711,23423975.921876766,61200.1328125,148786,0.00039333224296569935,0.9997849520174189,7.132040977478027,23428700.2211323,61200.05859375,0.0008658721953720098,148790,17,-0.00020164581094745353,0.07421875,0.0005253077787959995
7.157426357269287,23033216.523834944,64800.109375,142650,0.0005658694356679931,0.9996215439604723,7.157410621643066,23037726.207879063,64800.03515625,0.0007053718168531695,142666,18,-0.00019575213297641446,0.07421875,0.0004122046657978356
7.658407688140869,27162587.906909052,68400.125,165281,0.0006406161189079287,0.9997035997507818,7.658387184143066,27167358.086532928,68400.015625,0.00079054043488401,165304,19,-0.00017558496518807186,0.109375,0.0004649635980761653
8.35548210144043,29346837.43679188,72000.03125,171029,0.0005756020545959473,0.999666805010785,8.355480194091797,29351348.56572521,72000.0,0.0007273070265772767,171056,20,-0.0001536940942672969,0.03125,0.00043633513592567544
8.91356372833252,27698975.816360902,75600.109375,156230,0.0005843762867152693,0.9997376167925253,8.91357707977295,27702555.813368782,75600.2265625,0.0008732173236436883,156249,21,-0.00012922984550590505,-0.1171875,0.0005126617446127976
9.19811725616455,26131651.126485065,79200.0,144703,0.0005165572464466105,0.9997443497847701,9.198123931884766,26134830.806432843,79200.0546875,0.0007312716952832209,144718,22,-0.00012166445504579024,-0.0546875,0.00040298338065719385
9.339756965637207,24631390.347618945,82800.1171875,135717,0.00046269625425338773,0.9996905826623151,9.339768409729004,24634138.41843627,82800.171875,0.0017108031083526744,135719,23,-0.0001115553858895507,-0.0546875,0.0008849076630202116
9.41482925415039,23375823.12591772,86400.0,129180,0.00044524669647216797,0.9995898150297965,9.414836883544922,23377569.248654492,86400.0,0.0019101089621472189,129187,24,-7.469222818669049e-05,0.0,0.0009793484185934473
