snapshot,cupy_time_s,jax_time_s,depth_mae_m,depth_rmse_m,depth_relative_l2,wet_precision,wet_recall,wet_f1,flood_extent_csi,surface_volume_difference_m3,maximum_depth_difference_m
0,1.0,1.0,4.692015952090873e-10,3.9742936265763264e-08,2.1651804835798454e-05,1.0,1.0,1.0,1.0,-0.004582668248281388,1.1920928955078125e-07
1,3600.0263671875,3600.14697265625,8.869757411005284e-06,0.00048343282438312324,0.01479102084286856,0.9991329024121078,0.9988966821656553,0.9990147783251232,0.9980314960629921,104.39508048924205,-0.00012636184692382812
2,7200.20361328125,7200.1240234375,7.1810516116115125e-06,0.00044538851472319924,0.013811418176756993,0.9993711186227497,0.999056974459725,0.9992140218501926,0.9984292782533574,86.88900984691065,3.0040740966796875e-05
3,10800.1591796875,10800.0322265625,7.1377034573138134e-06,0.0004544963444490857,0.011302301858526128,0.9995641910295987,0.9994915931292443,0.9995278907611853,0.9990562270862826,17.117215736329292,-0.0005891323089599609
4,14400.1748046875,14400.162109375,9.330628968847066e-06,0.0004697914307430001,0.009238574809259395,0.9997820823244552,0.999661057983295,0.9997215664911325,0.9994432879895435,12.557667373948973,-0.0015718936920166016
5,18000.115234375,18000.025390625,1.0789344875472655e-05,0.0004860759974280724,0.007741547467102651,0.999856091813423,0.9997481878518625,0.9998021369212505,0.9996043521266074,-391.96846501244823,-5.4836273193359375e-06
6,21600.18359375,21600.09375,1.5106042749678067e-05,0.0005230111056349532,0.007138814943272521,0.9998467526894903,0.9995097738832036,0.9996782348885314,0.9993566767760316,-940.8548492734785,-8.392333984375e-05
7,25200.3671875,25200.048828125,2.0381610392113732e-05,0.0006245325758524785,0.007770991687179766,0.9997026674973098,0.9993347864239817,0.9995186931102334,0.9990378493102229,-1843.5111590913361,-1.1920928955078125e-05
8,28800.32421875,28800.201171875,2.3268671123738703e-05,0.0006263688507193699,0.0071915716025681455,0.9997628802149886,0.9995127090741472,0.9996377789924987,0.9992758202980987,-2415.8512774675296,-1.9073486328125e-05
9,32400.197265625,32400.1640625,2.2611143921436964e-05,0.0006111109027654498,0.00591243119885438,0.9999455284287131,0.999401138924881,0.9996732595626034,0.9993467325740915,-2982.081187096301,9.5367431640625e-07
10,36000.03125,36000.0,2.432428507288685e-05,0.000571559058818882,0.004897627970607858,0.9998671232176624,0.9994584929757343,0.999662766337949,0.9993257600523047,-3573.9339712622814,4.76837158203125e-07
11,39600.16796875,39600.140625,2.6045577255562838e-05,0.0006039604396591753,0.004616628538295208,0.999927931823505,0.9995317424583521,0.9997297978888209,0.9994597417565596,-3829.66777637768,4.76837158203125e-07
12,43200.0390625,43200.0078125,2.773953088636869e-05,0.0005721451356846686,0.004267166364458993,0.9998348039025149,0.9993589556805268,0.9995968231608092,0.9991939712937247,-3545.800831680801,4.76837158203125e-07
13,46800.09375,46800.1640625,2.733922629067647e-05,0.00046110546755684893,0.0028460927621194562,0.9998727123582157,0.9996677059692735,0.9997701986544247,0.9995405029019009,-3871.0128574401256,-1.430511474609375e-06
14,50400.0859375,50400.15234375,2.66814571954803e-05,0.00046876690177242525,0.002687798960894992,0.9998929007475528,0.9997287264420331,0.9998108068552173,0.9996216852849852,-4266.208206676364,1.430511474609375e-06
15,54000.14453125,54000.21875,2.642832010718058e-05,0.0005297874444017323,0.0028583097658393996,0.9999031430093467,0.9998132211738011,0.9998581800698031,0.9997164003596873,-4364.580006832389,-9.5367431640625e-07
16,57600.03125,57600.10546875,2.7784137224088348e-05,0.0005668971762254199,0.002906435072266902,0.9998913205906725,0.9998098265346319,0.9998505719020838,0.9997011884550084,-4627.925044413158,1.9073486328125e-06
17,61200.05859375,61200.1328125,2.7764538033847588e-05,0.0005253077787959995,0.0025897729639252306,0.9999059051254823,0.9998790241279656,0.9998924644460575,0.9997849520174189,-4724.299270786661,-9.5367431640625e-07
18,64800.03515625,64800.109375,3.1494127227535155e-05,0.0004122046657978356,0.00200658831171231,0.9998668068699614,0.9997546717508026,0.9998107361662157,0.9996215439604723,-4509.684045119309,1.5735626220703125e-05
19,68400.015625,68400.125,3.3863033896136844e-05,0.0004649635980761653,0.0020760269786521085,0.9999213460712363,0.9997822194260272,0.9998517779088585,0.9997035997507818,-4770.1796241243865,2.0503997802734375e-05
20,72000.0,72000.03125,3.8226624402629234e-05,0.00043633513592567544,0.0018239613536229996,0.9999122955756041,0.9997544663735852,0.9998333747460426,0.999666805010785,-4511.128932591339,1.9073486328125e-06
21,75600.2265625,75600.109375,3.713480739500747e-05,0.0005126617446127976,0.002131161097951468,0.9999295909876464,0.9998079987711921,0.9998687911827675,0.9997376167925253,-3579.9970064695867,-1.33514404296875e-05
22,79200.0546875,79200.0,3.188372122595682e-05,0.00040298338065719385,0.0016868353184016068,0.9999239822256623,0.9998203402479304,0.9998721585510381,0.9997443497847701,-3179.6799479927763,-6.67572021484375e-06
23,82800.171875,82800.1171875,3.2471755121950884e-05,0.0008849076630202116,0.0037461662817551596,0.9998526345262568,0.9998379003676714,0.9998452673926819,0.9996905826623151,-2748.0708160890326,-1.1444091796875e-05
24,86400.0,86400.0,5.202008745362012e-05,0.0009793484185934473,0.0041957416387340615,0.999821953862827,0.9997677784916439,0.9997948654433422,0.9995898150297965,-1746.1227351641962,-7.62939453125e-06
